ablation,sample_size,replicate,seed,full_tv_error,ablated_tv_error,full_better,invalid_category,full_invalid_mass,ablated_invalid_mass,full_invalid_top1,ablated_invalid_top1
A2_remove_industry_prior,1,0,11729,0.032323232323,0.171212121212,True,,,,,
A4_remove_hierarchical_pooling,1,0,11729,0.032323232323,0.45,True,,,,,
A2_remove_industry_prior,1,1,11730,0.156902356902,0.282323232323,True,,,,,
A4_remove_hierarchical_pooling,1,1,11730,0.156902356902,0.82,True,,,,,
A2_remove_industry_prior,1,2,11731,0.106397306397,0.275555555556,True,,,,,
A4_remove_hierarchical_pooling,1,2,11731,0.106397306397,0.9,True,,,,,
A2_remove_industry_prior,1,3,11732,0.067676767677,0.201515151515,True,,,,,
A4_remove_hierarchical_pooling,1,3,11732,0.067676767677,0.45,True,,,,,
A2_remove_industry_prior,1,4,11733,0.101986531987,0.174545454545,True,,,,,
A4_remove_hierarchical_pooling,1,4,11733,0.101986531987,0.45,True,,,,,
A2_remove_industry_prior,1,5,11734,0.059797979798,0.15101010101,True,,,,,
A4_remove_hierarchical_pooling,1,5,11734,0.059797979798,0.45,True,,,,,
A2_remove_industry_prior,1,6,11735,0.129090909091,0.265454545455,True,,,,,
A4_remove_hierarchical_pooling,1,6,11735,0.129090909091,0.82,True,,,,,
A2_remove_industry_prior,1,7,11736,0.076632996633,0.245252525253,True,,,,,
A4_remove_hierarchical_pooling,1,7,11736,0.076632996633,0.45,True,,,,,
A2_remove_industry_prior,1,8,11737,0.03632996633,0.161111111111,True,,,,,
A4_remove_hierarchical_pooling,1,8,11737,0.03632996633,0.45,True,,,,,
A2_remove_industry_prior,1,9,11738,0.073535353535,0.204848484848,True,,,,,
A4_remove_hierarchical_pooling,1,9,11738,0.073535353535,0.45,True,,,,,
A2_remove_industry_prior,1,10,11739,0.118181818182,0.184646464646,True,,,,,
A4_remove_hierarchical_pooling,1,10,11739,0.118181818182,0.45,True,,,,,
A2_remove_industry_prior,1,11,11740,0.036498316498,0.161111111111,True,,,,,
A4_remove_hierarchical_pooling,1,11,11740,0.036498316498,0.45,True,,,,,
A2_remove_industry_prior,1,12,11741,0.03303030303,0.191414141414,True,,,,,
A4_remove_hierarchical_pooling,1,12,11741,0.03303030303,0.45,True,,,,,
A2_remove_industry_prior,1,13,11742,0.135656565657,0.245252525253,True,,,,,
A4_remove_hierarchical_pooling,1,13,11742,0.135656565657,0.45,True,,,,,
A2_remove_industry_prior,1,14,11743,0.058754208754,0.083636363636,True,,,,,
A4_remove_hierarchical_pooling,1,14,11743,0.058754208754,0.45,True,,,,,
A2_remove_industry_prior,1,15,11744,0.067676767677,0.214949494949,True,,,,,
A4_remove_hierarchical_pooling,1,15,11744,0.067676767677,0.45,True,,,,,
A2_remove_industry_prior,1,16,11745,0.172053872054,0.191414141414,True,,,,,
A4_remove_hierarchical_pooling,1,16,11745,0.172053872054,0.45,True,,,,,
A2_remove_industry_prior,1,17,11746,0.042962962963,0.241919191919,True,,,,,
A4_remove_hierarchical_pooling,1,17,11746,0.042962962963,0.45,True,,,,,
A2_remove_industry_prior,1,18,11747,0.156734006734,0.262121212121,True,,,,,
A4_remove_hierarchical_pooling,1,18,11747,0.156734006734,0.45,True,,,,,
A2_remove_industry_prior,1,19,11748,0.208114478114,0.221717171717,True,,,,,
A4_remove_hierarchical_pooling,1,19,11748,0.208114478114,0.83,True,,,,,
A2_remove_industry_prior,1,20,11749,0.264646464646,0.292424242424,True,,,,,
A4_remove_hierarchical_pooling,1,20,11749,0.264646464646,0.83,True,,,,,
A2_remove_industry_prior,1,21,11750,0.224242424242,0.326060606061,True,,,,,
A4_remove_hierarchical_pooling,1,21,11750,0.224242424242,0.9,True,,,,,
A2_remove_industry_prior,1,22,11751,0.073434343434,0.241919191919,True,,,,,
A4_remove_hierarchical_pooling,1,22,11751,0.073434343434,0.45,True,,,,,
A2_remove_industry_prior,1,23,11752,0.049966329966,0.181313131313,True,,,,,
A4_remove_hierarchical_pooling,1,23,11752,0.049966329966,0.45,True,,,,,
A2_remove_industry_prior,1,24,11753,0.223367003367,0.302525252525,True,,,,,
A4_remove_hierarchical_pooling,1,24,11753,0.223367003367,0.82,True,,,,,
A2_remove_industry_prior,1,25,11754,0.140774410774,0.262121212121,True,,,,,
A4_remove_hierarchical_pooling,1,25,11754,0.140774410774,0.9,True,,,,,
A2_remove_industry_prior,1,26,11755,0.212457912458,0.342929292929,True,,,,,
A4_remove_hierarchical_pooling,1,26,11755,0.212457912458,0.83,True,,,,,
A2_remove_industry_prior,1,27,11756,0.090269360269,0.191414141414,True,,,,,
A4_remove_hierarchical_pooling,1,27,11756,0.090269360269,0.45,True,,,,,
A2_remove_industry_prior,1,28,11757,0.12404040404,0.35303030303,True,,,,,
A4_remove_hierarchical_pooling,1,28,11757,0.12404040404,0.82,True,,,,,
A2_remove_industry_prior,1,29,11758,0.09531986532,0.282323232323,True,,,,,
A4_remove_hierarchical_pooling,1,29,11758,0.09531986532,0.83,True,,,,,
A2_remove_industry_prior,1,30,11759,0.109764309764,0.184646464646,True,,,,,
A4_remove_hierarchical_pooling,1,30,11759,0.109764309764,0.45,True,,,,,
A2_remove_industry_prior,1,31,11760,0.160101010101,0.181313131313,True,,,,,
A4_remove_hierarchical_pooling,1,31,11760,0.160101010101,0.45,True,,,,,
A2_remove_industry_prior,1,32,11761,0.235858585859,0.235151515152,False,,,,,
A4_remove_hierarchical_pooling,1,32,11761,0.235858585859,0.82,True,,,,,
A2_remove_industry_prior,1,33,11762,0.039427609428,0.184646464646,True,,,,,
A4_remove_hierarchical_pooling,1,33,11762,0.039427609428,0.45,True,,,,,
A2_remove_industry_prior,1,34,11763,0.089562289562,0.241919191919,True,,,,,
A4_remove_hierarchical_pooling,1,34,11763,0.089562289562,0.45,True,,,,,
A2_remove_industry_prior,1,35,11764,0.116801346801,0.255353535354,True,,,,,
A4_remove_hierarchical_pooling,1,35,11764,0.116801346801,0.45,True,,,,,
A2_remove_industry_prior,1,36,11765,0.028787878788,0.140909090909,True,,,,,
A4_remove_hierarchical_pooling,1,36,11765,0.028787878788,0.45,True,,,,,
A2_remove_industry_prior,1,37,11766,0.076902356902,0.241919191919,True,,,,,
A4_remove_hierarchical_pooling,1,37,11766,0.076902356902,0.9,True,,,,,
A2_remove_industry_prior,1,38,11767,0.17861952862,0.282323232323,True,,,,,
A4_remove_hierarchical_pooling,1,38,11767,0.17861952862,0.82,True,,,,,
A2_remove_industry_prior,1,39,11768,0.075050505051,0.225050505051,True,,,,,
A4_remove_hierarchical_pooling,1,39,11768,0.075050505051,0.45,True,,,,,
A2_remove_industry_prior,1,40,11769,0.221683501684,0.312626262626,True,,,,,
A4_remove_hierarchical_pooling,1,40,11769,0.221683501684,0.82,True,,,,,
A2_remove_industry_prior,1,41,11770,0.101986531987,0.24595959596,True,,,,,
A4_remove_hierarchical_pooling,1,41,11770,0.101986531987,0.82,True,,,,,
A2_remove_industry_prior,1,42,11771,0.145656565657,0.235858585859,True,,,,,
A4_remove_hierarchical_pooling,1,42,11771,0.145656565657,0.83,True,,,,,
A2_remove_industry_prior,1,43,11772,0.123232323232,0.174545454545,True,,,,,
A4_remove_hierarchical_pooling,1,43,11772,0.123232323232,0.45,True,,,,,
A2_remove_industry_prior,1,44,11773,0.259595959596,0.265454545455,True,,,,,
A4_remove_hierarchical_pooling,1,44,11773,0.259595959596,0.82,True,,,,,
A2_remove_industry_prior,1,45,11774,0.220707070707,0.336161616162,True,,,,,
A4_remove_hierarchical_pooling,1,45,11774,0.220707070707,0.82,True,,,,,
A2_remove_industry_prior,1,46,11775,0.079292929293,0.15101010101,True,,,,,
A4_remove_hierarchical_pooling,1,46,11775,0.079292929293,0.45,True,,,,,
A2_remove_industry_prior,1,47,11776,0.079461279461,0.181313131313,True,,,,,
A4_remove_hierarchical_pooling,1,47,11776,0.079461279461,0.45,True,,,,,
A2_remove_industry_prior,1,48,11777,0.161952861953,0.326060606061,True,,,,,
A4_remove_hierarchical_pooling,1,48,11777,0.161952861953,0.82,True,,,,,
A2_remove_industry_prior,1,49,11778,0.208922558923,0.282323232323,True,,,,,
A4_remove_hierarchical_pooling,1,49,11778,0.208922558923,0.83,True,,,,,
A2_remove_industry_prior,1,50,11779,0.121548821549,0.255353535354,True,,,,,
A4_remove_hierarchical_pooling,1,50,11779,0.121548821549,0.9,True,,,,,
A2_remove_industry_prior,1,51,11780,0.172053872054,0.282323232323,True,,,,,
A4_remove_hierarchical_pooling,1,51,11780,0.172053872054,0.83,True,,,,,
A2_remove_industry_prior,1,52,11781,0.024377104377,0.144242424242,True,,,,,
A4_remove_hierarchical_pooling,1,52,11781,0.024377104377,0.45,True,,,,,
A2_remove_industry_prior,1,53,11782,0.090269360269,0.204848484848,True,,,,,
A4_remove_hierarchical_pooling,1,53,11782,0.090269360269,0.45,True,,,,,
A2_remove_industry_prior,1,54,11783,0.033838383838,0.211616161616,True,,,,,
A4_remove_hierarchical_pooling,1,54,11783,0.033838383838,0.45,True,,,,,
A2_remove_industry_prior,1,55,11784,0.072222222222,0.124747474747,True,,,,,
A4_remove_hierarchical_pooling,1,55,11784,0.072222222222,0.45,True,,,,,
A2_remove_industry_prior,1,56,11785,0.099494949495,0.322727272727,True,,,,,
A4_remove_hierarchical_pooling,1,56,11785,0.099494949495,0.83,True,,,,,
A2_remove_industry_prior,1,57,11786,0.180303030303,0.312626262626,True,,,,,
A4_remove_hierarchical_pooling,1,57,11786,0.180303030303,0.82,True,,,,,
A2_remove_industry_prior,1,58,11787,0.186228956229,0.282323232323,True,,,,,
A4_remove_hierarchical_pooling,1,58,11787,0.186228956229,0.9,True,,,,,
A2_remove_industry_prior,1,59,11788,0.312424242424,0.312626262626,True,,,,,
A4_remove_hierarchical_pooling,1,59,11788,0.312424242424,0.82,True,,,,,
A2_remove_industry_prior,1,60,11789,0.107912457912,0.201515151515,True,,,,,
A4_remove_hierarchical_pooling,1,60,11789,0.107912457912,0.45,True,,,,,
A2_remove_industry_prior,1,61,11790,0.067508417508,0.25202020202,True,,,,,
A4_remove_hierarchical_pooling,1,61,11790,0.067508417508,0.45,True,,,,,
A2_remove_industry_prior,1,62,11791,0.130505050505,0.215656565657,True,,,,,
A4_remove_hierarchical_pooling,1,62,11791,0.130505050505,0.83,True,,,,,
A2_remove_industry_prior,1,63,11792,0.01531986532,0.211616161616,True,,,,,
A4_remove_hierarchical_pooling,1,63,11792,0.01531986532,0.45,True,,,,,
A2_remove_industry_prior,1,64,11793,0.072558922559,0.262121212121,True,,,,,
A4_remove_hierarchical_pooling,1,64,11793,0.072558922559,0.45,True,,,,,
A2_remove_industry_prior,1,65,11794,0.050673400673,0.15101010101,True,,,,,
A4_remove_hierarchical_pooling,1,65,11794,0.050673400673,0.45,True,,,,,
A2_remove_industry_prior,1,66,11795,0.096127946128,0.231818181818,True,,,,,
A4_remove_hierarchical_pooling,1,66,11795,0.096127946128,0.45,True,,,,,
A2_remove_industry_prior,1,67,11796,0.136531986532,0.265454545455,True,,,,,
A4_remove_hierarchical_pooling,1,67,11796,0.136531986532,0.82,True,,,,,
A2_remove_industry_prior,1,68,11797,0.108888888889,0.241919191919,True,,,,,
A4_remove_hierarchical_pooling,1,68,11797,0.108888888889,0.82,True,,,,,
A2_remove_industry_prior,1,69,11798,0.057878787879,0.164444444444,True,,,,,
A4_remove_hierarchical_pooling,1,69,11798,0.057878787879,0.45,True,,,,,
A2_remove_industry_prior,1,70,11799,0.081952861953,0.262121212121,True,,,,,
A4_remove_hierarchical_pooling,1,70,11799,0.081952861953,0.82,True,,,,,
A2_remove_industry_prior,1,71,11800,0.049966329966,0.181313131313,True,,,,,
A4_remove_hierarchical_pooling,1,71,11800,0.049966329966,0.45,True,,,,,
A2_remove_industry_prior,1,72,11801,0.025420875421,0.302525252525,True,,,,,
A4_remove_hierarchical_pooling,1,72,11801,0.025420875421,0.82,True,,,,,
A2_remove_industry_prior,1,73,11802,0.067508417508,0.165151515152,True,,,,,
A4_remove_hierarchical_pooling,1,73,11802,0.067508417508,0.45,True,,,,,
A2_remove_industry_prior,1,74,11803,0.138383838384,0.262121212121,True,,,,,
A4_remove_hierarchical_pooling,1,74,11803,0.138383838384,0.83,True,,,,,
A2_remove_industry_prior,1,75,11804,0.016666666667,0.235151515152,True,,,,,
A4_remove_hierarchical_pooling,1,75,11804,0.016666666667,0.45,True,,,,,
A2_remove_industry_prior,1,76,11805,0.067878787879,0.174545454545,True,,,,,
A4_remove_hierarchical_pooling,1,76,11805,0.067878787879,0.45,True,,,,,
A2_remove_industry_prior,1,77,11806,0.124747474747,0.282323232323,True,,,,,
A4_remove_hierarchical_pooling,1,77,11806,0.124747474747,0.83,True,,,,,
A2_remove_industry_prior,1,78,11807,0.16531986532,0.275555555556,True,,,,,
A4_remove_hierarchical_pooling,1,78,11807,0.16531986532,0.82,True,,,,,
A2_remove_industry_prior,1,79,11808,0.130774410774,0.282323232323,True,,,,,
A4_remove_hierarchical_pooling,1,79,11808,0.130774410774,0.9,True,,,,,
A2_remove_industry_prior,1,80,11809,0.169326599327,0.306565656566,True,,,,,
A4_remove_hierarchical_pooling,1,80,11809,0.169326599327,0.82,True,,,,,
A2_remove_industry_prior,1,81,11810,0.032323232323,0.174545454545,True,,,,,
A4_remove_hierarchical_pooling,1,81,11810,0.032323232323,0.45,True,,,,,
A2_remove_industry_prior,1,82,11811,0.07303030303,0.211616161616,True,,,,,
A4_remove_hierarchical_pooling,1,82,11811,0.07303030303,0.45,True,,,,,
A2_remove_industry_prior,1,83,11812,0.088518518519,0.201515151515,True,,,,,
A4_remove_hierarchical_pooling,1,83,11812,0.088518518519,0.45,True,,,,,
A2_remove_industry_prior,1,84,11813,0.147508417508,0.302525252525,True,,,,,
A4_remove_hierarchical_pooling,1,84,11813,0.147508417508,0.83,True,,,,,
A2_remove_industry_prior,1,85,11814,0.076094276094,0.161111111111,True,,,,,
A4_remove_hierarchical_pooling,1,85,11814,0.076094276094,0.45,True,,,,,
A2_remove_industry_prior,1,86,11815,0.143434343434,0.295757575758,True,,,,,
A4_remove_hierarchical_pooling,1,86,11815,0.143434343434,0.82,True,,,,,
A2_remove_industry_prior,1,87,11816,0.076734006734,0.231818181818,True,,,,,
A4_remove_hierarchical_pooling,1,87,11816,0.076734006734,0.45,True,,,,,
A2_remove_industry_prior,1,88,11817,0.081784511785,0.225757575758,True,,,,,
A4_remove_hierarchical_pooling,1,88,11817,0.081784511785,0.45,True,,,,,
A2_remove_industry_prior,1,89,11818,0.127306397306,0.342929292929,True,,,,,
A4_remove_hierarchical_pooling,1,89,11818,0.127306397306,0.83,True,,,,,
A2_remove_industry_prior,1,90,11819,0.144074074074,0.272222222222,True,,,,,
A4_remove_hierarchical_pooling,1,90,11819,0.144074074074,0.82,True,,,,,
A2_remove_industry_prior,1,91,11820,0.160101010101,0.332828282828,True,,,,,
A4_remove_hierarchical_pooling,1,91,11820,0.160101010101,0.83,True,,,,,
A2_remove_industry_prior,1,92,11821,0.128922558923,0.184646464646,True,,,,,
