ablation,sample_size,replicates,full_mean_tv,ablated_mean_tv,full_tv_variance,ablated_tv_variance,paired_full_win_rate,full_top1_accuracy,ablated_top1_accuracy,full_invalid_mass_mean,ablated_invalid_mass_mean,full_invalid_top1_rate,ablated_invalid_top1_rate
A2_remove_industry_prior,1,200,0.111161279461,0.237663131313,0.003573476958,0.003241681326,0.99,0.97,0.475,,,,
A4_remove_hierarchical_pooling,1,200,0.111161279461,0.61765,0.003573476958,0.0376489775,1.0,0.97,0.57,,,,
A2_remove_industry_prior,3,200,0.118132193732,0.216410683761,0.003099443151,0.004881214296,0.94,0.97,0.62,,,,
A4_remove_hierarchical_pooling,3,200,0.118132193732,0.392066666667,0.003099443151,0.016019506667,1.0,0.97,0.61,,,,
A2_remove_industry_prior,5,200,0.114133333333,0.188501851852,0.003208016302,0.005234528529,0.91,0.975,0.715,,,,
A4_remove_hierarchical_pooling,5,200,0.114133333333,0.2858,0.003208016302,0.01314436,0.97,0.975,0.77,,,,
A2_remove_industry_prior,10,200,0.109393981481,0.1571,0.002429414935,0.004633380123,0.81,0.98,0.865,,,,
A4_remove_hierarchical_pooling,10,200,0.109393981481,0.1968,0.002429414935,0.00749576,0.925,0.98,0.875,,,,
A2_remove_industry_prior,20,200,0.097172530864,0.117368518519,0.001945436545,0.002958364057,0.705,1.0,0.985,,,,
A4_remove_hierarchical_pooling,20,200,0.097172530864,0.14175,0.001945436545,0.0036654375,0.93,1.0,0.99,,,,
A3_remove_compatibility_mask,4,4,,,,,,,,0.0,0.495,0.0,1.0
A6_remove_temporal_decay,80,200,0.265314101035,0.321805555556,0.001761767901,0.001541030093,1.0,,,,,,
