parameter_family,parameter_value,mode,top_category,effective_evidence_mass,data_support,uncertainty_entropy,L0_weight,L3_weight,L5_weight,fallback_weight,L5_to_L3_ratio,diagnostic_distribution,tv_vs_gamma_0_7,delta_per_day,ownership_weight,evidence_weight,tradeoff_weight,reflection_weight,recent_to_old_ratio,tv_to_prior,tv_to_empirical,posterior
gamma,0.5,ordered_practice_priority,evidence,3.196003,0.329345,0.93669,0.842105,0.124157,0.033738,0.157895,0.271736591574,"{""evidence"":0.41714,""ownership"":0.269876,""reflection"":0.151179,""tradeoff"":0.161805}",0.0254255,,,,,,,,,
gamma,0.7,ordered_practice_priority,evidence,3.196003,0.329345,0.952409,0.617269,0.249725,0.133006,0.382731,0.532609870858,"{""evidence"":0.391886,""ownership"":0.269704,""reflection"":0.153524,""tradeoff"":0.184885}",0.0,,,,,,,,,
gamma,0.9,ordered_practice_priority,evidence,3.196003,0.329345,0.966502,0.382134,0.328576,0.28929,0.617866,0.880435576549,"{""evidence"":0.364588,""ownership"":0.267827,""reflection"":0.158407,""tradeoff"":0.209178}",0.0291755,,,,,,,,,
delta_per_month,0.01,ordered_practice_priority,ownership,3.817479673246,0.379472,0.999941,,,,,,"{""evidence"":0.252593,""ownership"":0.253136,""reflection"":0.245124,""tradeoff"":0.249147}",,0.000328515112,0.997703036286,0.990192952479,0.942581661318,0.887002023164,1.124803563274,,,
delta_per_month,0.02,ordered_practice_priority,ownership,3.651126209102,0.366434,0.999783,,,,,,"{""evidence"":0.254959,""ownership"":0.256053,""reflection"":0.240769,""tradeoff"":0.248218}",,0.000657030223,0.995411348614,0.980482083138,0.888460188253,0.786772589097,1.265183055953,,,
delta_per_month,0.05,ordered_practice_priority,ownership,3.233586762966,0.332488,0.998967,,,,,,"{""evidence"":0.260845,""ownership"":0.263615,""reflection"":0.230403,""tradeoff"":0.245137}",,0.001642575558,0.988567820803,0.951917158124,0.74403767981,0.54906410423,1.800459751762,,,
lambda0_prior_concentration,1,,,,,,,,,,,,,,,,,,,0.5,0.05,"{""evidence"":0.75,""ownership"":0.113636363636,""reflection"":0.022727272727,""tradeoff"":0.113636363636}"
lambda0_prior_concentration,5,,,,,,,,,,,,,,,,,,,0.366666666667,0.183333333333,"{""evidence"":0.616666666667,""ownership"":0.15,""reflection"":0.083333333333,""tradeoff"":0.15}"
lambda0_prior_concentration,10,,,,,,,,,,,,,,,,,,,0.275,0.275,"{""evidence"":0.525,""ownership"":0.175,""reflection"":0.125,""tradeoff"":0.175}"
lambda0_prior_concentration,20,,,,,,,,,,,,,,,,,,,0.183333333333,0.366666666667,"{""evidence"":0.433333333333,""ownership"":0.2,""reflection"":0.166666666667,""tradeoff"":0.2}"
lambda0_prior_concentration,50,,,,,,,,,,,,,,,,,,,0.091666666667,0.458333333333,"{""evidence"":0.341666666667,""ownership"":0.225,""reflection"":0.208333333333,""tradeoff"":0.225}"
